Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Albania,2003,Female,Not applicable,Percent,8.76825
Albania,2003,All genders,Not applicable,Percent,10.07102
Albania,2000,All genders,Not applicable,Percent,10.38862
Albania,2000,Male,Not applicable,Percent,13.88542
Albania,2000,Female,Not applicable,Percent,6.56781
Algeria,2013,Male,Not applicable,Percent,7.61227
Algeria,2013,Female,Not applicable,Percent,5.50481
Algeria,2013,All genders,Not applicable,Percent,6.587
Algeria,2012,All genders,Not applicable,Percent,3.79021
Algeria,2012,Female,Not applicable,Percent,2.32895
Algeria,2012,Male,Not applicable,Percent,5.15132
Algeria,2011,Male,Not applicable,Percent,8.88198
Algeria,2011,Female,Not applicable,Percent,5.44722
Algeria,2011,All genders,Not applicable,Percent,7.23248
Algeria,2010,All genders,Not applicable,Percent,5.44744
Algeria,2010,Female,Not applicable,Percent,4.86745
Algeria,2010,Male,Not applicable,Percent,5.98945
Algeria,2009,Male,Not applicable,Percent,6.84484
Algeria,2009,Female,Not applicable,Percent,2.89556
Algeria,2009,All genders,Not applicable,Percent,4.96103
Algeria,2007,All genders,Not applicable,Percent,7.04767
Algeria,2007,Female,Not applicable,Percent,5.30761
Algeria,2007,Male,Not applicable,Percent,8.65652
Algeria,2006,Male,Not applicable,Percent,10.4595
Algeria,2006,Female,Not applicable,Percent,5.31766
Algeria,2006,All genders,Not applicable,Percent,7.98875
Algeria,2005,All genders,Not applicable,Percent,9.08036
Algeria,2005,Female,Not applicable,Percent,7.82953
Algeria,2005,Male,Not applicable,Percent,10.23686
Algeria,2004,Male,Not applicable,Percent,8.56389
Algeria,2004,Female,Not applicable,Percent,4.87034
Algeria,2004,All genders,Not applicable,Percent,6.79687
Algeria,2003,All genders,Not applicable,Percent,6.53776
Algeria,2003,Female,Not applicable,Percent,4.57818
Algeria,2003,Male,Not applicable,Percent,8.35722
Algeria,2002,Male,Not applicable,Percent,6.45855
Algeria,2002,Female,Not applicable,Percent,4.43111
Algeria,2002,All genders,Not applicable,Percent,5.48306
Algeria,2001,All genders,Not applicable,Percent,6.51526
Algeria,2001,Male,Not applicable,Percent,8.43237
Algeria,2001,Female,Not applicable,Percent,4.43312
Algeria,2000,Female,Not applicable,Percent,4.5701
Algeria,2000,Male,Not applicable,Percent,6.24573
Algeria,2000,All genders,Not applicable,Percent,5.43627
Algeria,1999,All genders,Not applicable,Percent,8.54419
Algeria,1999,Male,Not applicable,Percent,10.11297
Algeria,1999,Female,Not applicable,Percent,6.856
Algeria,1998,Female,Not applicable,Percent,7.07223
Algeria,1998,Male,Not applicable,Percent,8.78222
Algeria,1998,All genders,Not applicable,Percent,7.96054
Algeria,1997,All genders,Not applicable,Percent,12.78969
Algeria,1997,Male,Not applicable,Percent,12.39713
Algeria,1997,Female,Not applicable,Percent,13.21577
Algeria,1996,Male,Not applicable,Percent,13.85314
Algeria,1996,All genders,Not applicable,Percent,15.24676
Algeria,1996,Female,Not applicable,Percent,16.77429
Algeria,1995,Female,Not applicable,Percent,18.62618
Algeria,1995,All genders,Not applicable,Percent,16.36324
Algeria,1995,Male,Not applicable,Percent,14.3025
Algeria,1992,Male,Not applicable,Percent,22.60662
Algeria,1992,Female,Not applicable,Percent,27.5939
Algeria,1992,All genders,Not applicable,Percent,24.94585
Algeria,1991,All genders,Not applicable,Percent,27.18744
Algeria,1991,Female,Not applicable,Percent,29.47223
Algeria,1991,Male,Not applicable,Percent,25.19823
Algeria,1990,Male,Not applicable,Percent,21.10929
Algeria,1990,Female,Not applicable,Percent,28.19152
Algeria,1990,All genders,Not applicable,Percent,24.38576
Algeria,1989,All genders,Not applicable,Percent,23.22285
Algeria,1989,Female,Not applicable,Percent,27.49346
Algeria,1989,Male,Not applicable,Percent,19.55215
Algeria,1988,Male,Not applicable,Percent,26.12728
Algeria,1988,Female,Not applicable,Percent,32.89523
Algeria,1988,All genders,Not applicable,Percent,29.2259
Algeria,1987,All genders,Not applicable,Percent,31.2021
Algeria,1987,Male,Not applicable,Percent,27.98549
Algeria,1987,Female,Not applicable,Percent,35.03162
Algeria,1986,Female,Not applicable,Percent,36.24009
Algeria,1986,Male,Not applicable,Percent,27.76752
Algeria,1986,All genders,Not applicable,Percent,31.6208
Algeria,1982,All genders,Not applicable,Percent,32.04739
Algeria,1982,Male,Not applicable,Percent,29.36871
Algeria,1982,Female,Not applicable,Percent,35.45605
Algeria,1981,Female,Not applicable,Percent,39.24664
Algeria,1981,Male,Not applicable,Percent,29.2228
Algeria,1981,All genders,Not applicable,Percent,33.59686
Algeria,1980,All genders,Not applicable,Percent,39.08172
Algeria,1980,Male,Not applicable,Percent,35.73749
Algeria,1980,Female,Not applicable,Percent,43.43275
Algeria,1979,Female,Not applicable,Percent,43.91199
Algeria,1979,Male,Not applicable,Percent,34.70393
Algeria,1979,All genders,Not applicable,Percent,38.65771
Algeria,1978,All genders,Not applicable,Percent,38.53884
Algeria,1978,Male,Not applicable,Percent,33.48675
Algeria,1978,Female,Not applicable,Percent,45.16201
Algeria,1977,Female,Not applicable,Percent,48.7331
Algeria,1977,Male,Not applicable,Percent,37.67453
Algeria,1977,All genders,Not applicable,Percent,42.42844
Algeria,1976,All genders,Not applicable,Percent,43.72931
Algeria,1976,Male,Not applicable,Percent,38.93053
Algeria,1976,Female,Not applicable,Percent,50.22577
Algeria,1975,Female,Not applicable,Percent,52.58601
Algeria,1975,Male,Not applicable,Percent,40.8539
Algeria,1975,All genders,Not applicable,Percent,45.7876
Andorra,2013,Male,Not applicable,Percent,29.02038
Andorra,2013,Female,Not applicable,Percent,29.65205
Andorra,2013,All genders,Not applicable,Percent,29.34941
Angola,2009,All genders,Not applicable,Percent,68.12715
Angola,2009,Male,Not applicable,Percent,63.44973
Angola,2009,Female,Not applicable,Percent,73.13615
Angola,2008,Female,Not applicable,Percent,74.26942
Angola,2008,Male,Not applicable,Percent,70.79191
Angola,2008,All genders,Not applicable,Percent,72.40958
Angola,1991,All genders,Not applicable,Percent,53.7462
Angola,1982,All genders,Not applicable,Percent,72.15192
Angola,1981,All genders,Not applicable,Percent,71.63478
Anguilla,2008,All genders,Not applicable,Percent,13.74923
Antigua and Barbuda,2007,All genders,Not applicable,Percent,8.67793
Argentina,2012,Male,Not applicable,Percent,5.05012
Argentina,2012,All genders,Not applicable,Percent,5.43207
Argentina,2012,Female,Not applicable,Percent,5.82794
Argentina,2011,Female,Not applicable,Percent,4.89912
Argentina,2011,All genders,Not applicable,Percent,3.72221
Argentina,2011,Male,Not applicable,Percent,2.57003
Argentina,2010,Male,Not applicable,Percent,6.88067
Argentina,2010,All genders,Not applicable,Percent,6.87359
Argentina,2010,Female,Not applicable,Percent,6.86514
Argentina,2009,Female,Not applicable,Percent,6.18743
Argentina,2009,All genders,Not applicable,Percent,4.71555
Argentina,2009,Male,Not applicable,Percent,3.26918
Argentina,2008,Male,Not applicable,Percent,5.39652
Argentina,2008,All genders,Not applicable,Percent,6.22962
Argentina,2008,Female,Not applicable,Percent,7.07952
Argentina,2007,Female,Not applicable,Percent,3.93959
Argentina,2007,All genders,Not applicable,Percent,2.59491
Argentina,2007,Male,Not applicable,Percent,1.26606
Argentina,2006,Male,Not applicable,Percent,4.71835
Argentina,2006,All genders,Not applicable,Percent,5.16083
Argentina,2006,Female,Not applicable,Percent,5.61198
Argentina,2005,Female,Not applicable,Percent,6.89251
Argentina,2005,All genders,Not applicable,Percent,5.50086
Argentina,2005,Male,Not applicable,Percent,4.11918
Argentina,2004,All genders,Not applicable,Percent,13.19316
Argentina,2004,Female,Not applicable,Percent,14.32363
Argentina,2004,Male,Not applicable,Percent,12.06992
Argentina,2003,Male,Not applicable,Percent,2.65434
Argentina,2003,Female,Not applicable,Percent,7.15079
Argentina,2003,All genders,Not applicable,Percent,4.91173
Argentina,2002,All genders,Not applicable,Percent,19.2179
Argentina,2002,Female,Not applicable,Percent,20.71346
Argentina,2002,Male,Not applicable,Percent,17.71383
Argentina,2001,Male,Not applicable,Percent,9.37729
Argentina,2001,Female,Not applicable,Percent,10.95469
Argentina,2001,All genders,Not applicable,Percent,10.16535
Argentina,2000,All genders,Not applicable,Percent,9.21361
Argentina,2000,Female,Not applicable,Percent,9.60348
Argentina,2000,Male,Not applicable,Percent,8.82615
Argentina,1999,Male,Not applicable,Percent,2.59116
Argentina,1999,Female,Not applicable,Percent,7.38903
Argentina,1999,All genders,Not applicable,Percent,5.00705
Argentina,1998,All genders,Not applicable,Percent,12.15524
Argentina,1998,Female,Not applicable,Percent,11.88397
Argentina,1998,Male,Not applicable,Percent,12.41796
Argentina,1997,Male,Not applicable,Percent,24.53989
Argentina,1997,All genders,Not applicable,Percent,23.05012
Argentina,1997,Female,Not applicable,Percent,21.52461
Argentina,1994,All genders,Not applicable,Percent,16.64668
Argentina,1976,All genders,Not applicable,Percent,38.00542
Argentina,1976,Male,Not applicable,Percent,40.85518
Argentina,1976,Female,Not applicable,Percent,35.0339
Argentina,1975,Female,Not applicable,Percent,33.04236
Argentina,1975,Male,Not applicable,Percent,38.99222
Argentina,1975,All genders,Not applicable,Percent,36.07662
Armenia,2013,All genders,Not applicable,Percent,9.7935
Armenia,2013,Male,Not applicable,Percent,9.96196
Armenia,2013,Female,Not applicable,Percent,9.60166
Armenia,2011,Female,Not applicable,Percent,5.73324
Armenia,2011,Male,Not applicable,Percent,5.79134
Armenia,2011,All genders,Not applicable,Percent,5.76102
Armenia,2010,Male,Not applicable,Percent,4.01326
Armenia,2010,Female,Not applicable,Percent,4.01162
Armenia,2010,All genders,Not applicable,Percent,4.01623
Armenia,2009,All genders,Not applicable,Percent,3.01526
Armenia,2009,Female,Not applicable,Percent,2.23734
Armenia,2009,Male,Not applicable,Percent,3.6992
Armenia,2006,Male,Not applicable,Percent,1.98539
Armenia,2006,Female,Not applicable,Percent,2.64379
Armenia,2006,All genders,Not applicable,Percent,2.2945
Armenia,2005,All genders,Not applicable,Percent,1.49231
Armenia,2005,Female,Not applicable,Percent,1.89658
Armenia,2005,Male,Not applicable,Percent,1.11471
Armenia,2004,Male,Not applicable,Percent,1.37142
Armenia,2004,All genders,Not applicable,Percent,1.31884
Armenia,2004,Female,Not applicable,Percent,1.26288
Armenia,2003,Female,Not applicable,Percent,3.58705
Armenia,2003,All genders,Not applicable,Percent,3.70578
Armenia,2003,Male,Not applicable,Percent,3.81725
Armenia,2002,Male,Not applicable,Percent,4.06519
Armenia,2002,All genders,Not applicable,Percent,4.23876
Armenia,2002,Female,Not applicable,Percent,4.42955
Armenia,1997,All genders,Not applicable,Percent,3.49661
Aruba,2013,Male,Not applicable,Percent,7.60811
Aruba,2013,Female,Not applicable,Percent,0.39389
Aruba,2013,All genders,Not applicable,Percent,4.0594
Aruba,2009,All genders,Not applicable,Percent,6.88112
Aruba,2008,All genders,Not applicable,Percent,8.58668
Aruba,2008,Female,Not applicable,Percent,2.76852
Aruba,2008,Male,Not applicable,Percent,14.22363
Aruba,2007,Male,Not applicable,Percent,15.02477
Aruba,2007,Female,Not applicable,Percent,12.01263
Aruba,2007,All genders,Not applicable,Percent,13.51297
Aruba,2006,All genders,Not applicable,Percent,6.61414
Aruba,2006,Female,Not applicable,Percent,5.30419
Aruba,2006,Male,Not applicable,Percent,7.86585
Aruba,2005,All genders,Not applicable,Percent,5.59706
Aruba,2004,All genders,Not applicable,Percent,6.34032
Aruba,2004,Male,Not applicable,Percent,8.13392
Aruba,2004,Female,Not applicable,Percent,4.48978
Aruba,2003,Female,Not applicable,Percent,4.9545
Aruba,2003,Male,Not applicable,Percent,6.53784
Aruba,2003,All genders,Not applicable,Percent,5.7259
Aruba,2002,All genders,Not applicable,Percent,6.13673
Aruba,2002,Male,Not applicable,Percent,7.96055
Aruba,2002,Female,Not applicable,Percent,4.22879
Aruba,2001,Female,Not applicable,Percent,1.20482
Aruba,2001,Male,Not applicable,Percent,10.46717
Aruba,2001,All genders,Not applicable,Percent,5.95132
Aruba,2000,All genders,Not applicable,Percent,4.13138
Aruba,1999,All genders,Not applicable,Percent,4.39336
Aruba,1999,Male,Not applicable,Percent,2.67849
Aruba,1999,Female,Not applicable,Percent,6.12314
Austria,2013,Female,Not applicable,Percent,0.1798
Austria,2013,All genders,Not applicable,Percent,0.50383
Austria,2013,Male,Not applicable,Percent,0.81151
Austria,2012,Male,Not applicable,Percent,0.75793
Austria,2012,All genders,Not applicable,Percent,0.3892
Austria,2012,Female,Not applicable,Percent,0
Austria,2011,Female,Not applicable,Percent,0
Austria,2011,All genders,Not applicable,Percent,0.26172
Austria,2011,Male,Not applicable,Percent,0.50996
Austria,2010,Male,Not applicable,Percent,1.14146
Austria,2010,All genders,Not applicable,Percent,0.58834
Austria,2010,Female,Not applicable,Percent,0
Austria,2009,Female,Not applicable,Percent,1.76753
Austria,2009,All genders,Not applicable,Percent,3.00752
Austria,2009,Male,Not applicable,Percent,4.16446
Austria,2008,Male,Not applicable,Percent,3.54457
Austria,2008,All genders,Not applicable,Percent,2.28601
Austria,2008,Female,Not applicable,Percent,0.91709
Austria,2007,Female,Not applicable,Percent,1.39369
Austria,2007,All genders,Not applicable,Percent,2.6311
Austria,2007,Male,Not applicable,Percent,3.76772
Austria,2006,Male,Not applicable,Percent,3.59086
Austria,2006,All genders,Not applicable,Percent,2.36528
Austria,2006,Female,Not applicable,Percent,1.04099
Austria,2005,Female,Not applicable,Percent,2.04637
Austria,2005,All genders,Not applicable,Percent,2.08574
Austria,2005,Male,Not applicable,Percent,2.1094
Austria,2004,Male,Not applicable,Percent,2.9202
Austria,2004,All genders,Not applicable,Percent,2.7756
Austria,2004,Female,Not applicable,Percent,2.61047
Austria,2003,Female,Not applicable,Percent,0.741
Austria,2003,All genders,Not applicable,Percent,2.23707
Austria,2003,Male,Not applicable,Percent,3.65706
Austria,2002,Male,Not applicable,Percent,3.50112
Austria,2002,All genders,Not applicable,Percent,2.84211
Austria,2002,Female,Not applicable,Percent,2.13778
Austria,1998,Female,Not applicable,Percent,2.03971
Austria,1998,All genders,Not applicable,Percent,2.92456
Austria,1998,Male,Not applicable,Percent,3.75457
Azerbaijan,2013,All genders,Not applicable,Percent,2.73738
Azerbaijan,2013,Female,Not applicable,Percent,0.0928
Azerbaijan,2013,Male,Not applicable,Percent,4.94718
Azerbaijan,2012,Male,Not applicable,Percent,0.13624
Azerbaijan,2012,Female,Not applicable,Percent,2.41028
Azerbaijan,2012,All genders,Not applicable,Percent,1.18768
Azerbaijan,2011,All genders,Not applicable,Percent,1.81357
Azerbaijan,2011,Female,Not applicable,Percent,1.13583
Azerbaijan,2011,Male,Not applicable,Percent,2.39581
Azerbaijan,2010,Male,Not applicable,Percent,1.4011
Azerbaijan,2010,Female,Not applicable,Percent,4.3752
Azerbaijan,2010,All genders,Not applicable,Percent,2.79264
Azerbaijan,2009,Female,Not applicable,Percent,2.49714
Azerbaijan,2009,Male,Not applicable,Percent,4.62033
Azerbaijan,2009,All genders,Not applicable,Percent,3.63906
Azerbaijan,2008,All genders,Not applicable,Percent,1.57835
Azerbaijan,2008,Male,Not applicable,Percent,0.00638
Azerbaijan,2008,Female,Not applicable,Percent,3.33939
Azerbaijan,2007,Female,Not applicable,Percent,1.55509
Azerbaijan,2007,Male,Not applicable,Percent,0
Azerbaijan,2007,All genders,Not applicable,Percent,0.73499
Azerbaijan,2006,All genders,Not applicable,Percent,1.32374
Azerbaijan,2006,Male,Not applicable,Percent,2.4203
Azerbaijan,2006,Female,Not applicable,Percent,0.08108
Azerbaijan,2005,Female,Not applicable,Percent,6.40774
Azerbaijan,2005,Male,Not applicable,Percent,0
Azerbaijan,2005,All genders,Not applicable,Percent,3.09156
Azerbaijan,2004,All genders,Not applicable,Percent,2.14148
Azerbaijan,2004,Male,Not applicable,Percent,2.36609
Azerbaijan,2004,Female,Not applicable,Percent,1.88495
Azerbaijan,2003,Female,Not applicable,Percent,0.13628
Azerbaijan,2003,Male,Not applicable,Percent,4.21942
Azerbaijan,2003,All genders,Not applicable,Percent,2.287
Azerbaijan,2002,All genders,Not applicable,Percent,3.47698
Azerbaijan,2002,Male,Not applicable,Percent,2.23241
Azerbaijan,2002,Female,Not applicable,Percent,4.79184
Azerbaijan,2001,Female,Not applicable,Percent,1.69544
Azerbaijan,2001,Male,Not applicable,Percent,4.69001
Azerbaijan,2001,All genders,Not applicable,Percent,3.26213
Azerbaijan,2000,All genders,Not applicable,Percent,4.01767
Azerbaijan,2000,Male,Not applicable,Percent,0.90437
Azerbaijan,2000,Female,Not applicable,Percent,7.1906
Azerbaijan,1999,Female,Not applicable,Percent,2.20068
Azerbaijan,1999,Male,Not applicable,Percent,4.05758
Azerbaijan,1999,All genders,Not applicable,Percent,3.16555
Azerbaijan,1998,All genders,Not applicable,Percent,2.61085
Azerbaijan,1998,Male,Not applicable,Percent,3.08409
Azerbaijan,1998,Female,Not applicable,Percent,2.1231
Azerbaijan,1995,Female,Not applicable,Percent,16.69807
Azerbaijan,1995,Male,Not applicable,Percent,16.79886
Azerbaijan,1995,All genders,Not applicable,Percent,16.74754
Azerbaijan,1994,All genders,Not applicable,Percent,18.50995
Azerbaijan,1994,Male,Not applicable,Percent,18.35662
Azerbaijan,1994,Female,Not applicable,Percent,18.67731
Azerbaijan,1993,Female,Not applicable,Percent,3.12681
Azerbaijan,1993,Male,Not applicable,Percent,1.40672
Azerbaijan,1993,All genders,Not applicable,Percent,2.24484
Bahamas,2009,All genders,Not applicable,Percent,10.5001
Bahamas,2009,Male,Not applicable,Percent,8.6199
Bahamas,2009,Female,Not applicable,Percent,12.28496
Bahamas,2008,Female,Not applicable,Percent,12.5819
Bahamas,2008,Male,Not applicable,Percent,22.19604
Bahamas,2008,All genders,Not applicable,Percent,17.5577
Bahamas,2007,All genders,Not applicable,Percent,9.29493
Bahamas,2007,Male,Not applicable,Percent,10.46414
Bahamas,2007,Female,Not applicable,Percent,8.03185
Bahamas,2005,Female,Not applicable,Percent,15.69898
Bahamas,2005,Male,Not applicable,Percent,21.24826
Bahamas,2005,All genders,Not applicable,Percent,18.58491
Bahamas,1994,All genders,Not applicable,Percent,20.12853
Bahrain,2011,All genders,Not applicable,Percent,2.19257
Bahrain,2011,Male,Not applicable,Percent,0.90329
Bahrain,2011,Female,Not applicable,Percent,3.4909
Bahrain,2010,Female,Not applicable,Percent,1.81776
Bahrain,2010,Male,Not applicable,Percent,2.59838
Bahrain,2010,All genders,Not applicable,Percent,2.20964
Bahrain,2009,All genders,Not applicable,Percent,1.24932
Bahrain,2009,Male,Not applicable,Percent,0
Bahrain,2009,Female,Not applicable,Percent,2.54188
Bahrain,2004,Female,Not applicable,Percent,3.08904
Bahrain,2004,All genders,Not applicable,Percent,1.78674
Bahrain,2004,Male,Not applicable,Percent,0.50422
Bahrain,2003,All genders,Not applicable,Percent,1.32962
Bahrain,2003,Female,Not applicable,Percent,1.30392
Bahrain,2003,Male,Not applicable,Percent,1.34507
Bahrain,2001,Male,Not applicable,Percent,1.16037
Bahrain,2001,Female,Not applicable,Percent,2.5814
Bahrain,2001,All genders,Not applicable,Percent,1.86645
Bahrain,2000,All genders,Not applicable,Percent,7.66047
Bahrain,2000,Female,Not applicable,Percent,8.05071
Bahrain,2000,Male,Not applicable,Percent,7.26753
Bahrain,1999,Male,Not applicable,Percent,10.60746
Bahrain,1999,Female,Not applicable,Percent,8.7264
Bahrain,1999,All genders,Not applicable,Percent,9.65939
Bahrain,1998,All genders,Not applicable,Percent,7.53587
Bahrain,1998,Female,Not applicable,Percent,7.16231
Bahrain,1998,Male,Not applicable,Percent,7.88486
Bahrain,1996,Male,Not applicable,Percent,20.11478
Bahrain,1996,All genders,Not applicable,Percent,18.36836
Bahrain,1996,Female,Not applicable,Percent,16.53415
Bahrain,1995,Female,Not applicable,Percent,18.62303
Bahrain,1995,All genders,Not applicable,Percent,19.7626
Bahrain,1995,Male,Not applicable,Percent,20.87095
Bahrain,1994,Male,Not applicable,Percent,23.75925
Bahrain,1994,All genders,Not applicable,Percent,22.32608
Bahrain,1994,Female,Not applicable,Percent,20.80511
Bahrain,1993,Female,Not applicable,Percent,22.09917
Bahrain,1993,All genders,Not applicable,Percent,19.89551
Bahrain,1993,Male,Not applicable,Percent,17.73925
Bahrain,1992,Male,Not applicable,Percent,19.73151
Bahrain,1992,All genders,Not applicable,Percent,19.42114
Bahrain,1992,Female,Not applicable,Percent,19.08878
Bahrain,1991,Female,Not applicable,Percent,19.23688
Bahrain,1991,All genders,Not applicable,Percent,19.75726
Bahrain,1991,Male,Not applicable,Percent,20.25877
Bahrain,1989,Male,Not applicable,Percent,19.11307
Bahrain,1989,All genders,Not applicable,Percent,16.1146
Bahrain,1989,Female,Not applicable,Percent,12.87384
Bahrain,1988,Female,Not applicable,Percent,20.46991
Bahrain,1988,All genders,Not applicable,Percent,21.67267
Bahrain,1988,Male,Not applicable,Percent,22.80276
Bahrain,1987,Male,Not applicable,Percent,27.4456
Bahrain,1987,All genders,Not applicable,Percent,26.14905
Bahrain,1987,Female,Not applicable,Percent,24.78315
Bahrain,1986,Female,Not applicable,Percent,30.55293
Bahrain,1986,All genders,Not applicable,Percent,30.01987
Bahrain,1986,Male,Not applicable,Percent,29.51727
Bahrain,1985,Male,Not applicable,Percent,22.25168
Bahrain,1985,All genders,Not applicable,Percent,27.10813
Bahrain,1985,Female,Not applicable,Percent,31.93994
Bahrain,1984,All genders,Not applicable,Percent,31.07888
Bahrain,1983,All genders,Not applicable,Percent,27.16309
Bangladesh,2009,Female,Not applicable,Percent,29.36276
Bangladesh,2009,All genders,Not applicable,Percent,33.79904
Bangladesh,2009,Male,Not applicable,Percent,38.05066
Bangladesh,2008,Male,Not applicable,Percent,32.86206
Bangladesh,2008,All genders,Not applicable,Percent,33.39914
Bangladesh,2008,Female,Not applicable,Percent,33.92897
Bangladesh,1989,All genders,Not applicable,Percent,59.94105
Bangladesh,1981,All genders,Not applicable,Percent,77.5633
Bangladesh,1981,Female,Not applicable,Percent,79.85179
Bangladesh,1981,Male,Not applicable,Percent,75.91463
Bangladesh,1977,All genders,Not applicable,Percent,75.46589
Bangladesh,1976,Female,Not applicable,Percent,69.28581
Bangladesh,1976,Male,Not applicable,Percent,64.3631
Bangladesh,1976,All genders,Not applicable,Percent,66.12382
Barbados,2010,All genders,Not applicable,Percent,6.62534
Barbados,2008,All genders,Not applicable,Percent,10.04227
Barbados,2007,All genders,Not applicable,Percent,8.7415
Barbados,2005,All genders,Not applicable,Percent,8.93407
Barbados,2004,All genders,Not applicable,Percent,3.00188
Barbados,2003,All genders,Not applicable,Percent,4.16793
Barbados,2003,Male,Not applicable,Percent,5.95106
Barbados,2003,Female,Not applicable,Percent,2.29414
Barbados,2001,All genders,Not applicable,Percent,6.66829
Barbados,1999,All genders,Not applicable,Percent,8.79086
Barbados,1999,Female,Not applicable,Percent,9.57211
Barbados,1999,Male,Not applicable,Percent,8.01701
Belarus,2013,Female,Not applicable,Percent,1.81887
Belarus,2013,Male,Not applicable,Percent,1.53643
Belarus,2013,All genders,Not applicable,Percent,1.67616
Belarus,2012,All genders,Not applicable,Percent,1.33186
Belarus,2012,Male,Not applicable,Percent,0.94688
Belarus,2012,Female,Not applicable,Percent,1.73672
Belarus,2011,Female,Not applicable,Percent,0.66243
Belarus,2011,Male,Not applicable,Percent,1.19825
Belarus,2011,All genders,Not applicable,Percent,0.93666
Belarus,2010,All genders,Not applicable,Percent,1.80748
Belarus,2010,Male,Not applicable,Percent,3.12205
Belarus,2010,Female,Not applicable,Percent,0.39259
Belarus,2009,All genders,Not applicable,Percent,0.32157
Belarus,2008,All genders,Not applicable,Percent,0.49703
Belarus,2007,All genders,Not applicable,Percent,1.98864
Belarus,2007,Male,Not applicable,Percent,3.81932
Belarus,2007,Female,Not applicable,Percent,0
Belarus,2006,Female,Not applicable,Percent,0.73737
Belarus,2006,Male,Not applicable,Percent,0.92236
Belarus,2006,All genders,Not applicable,Percent,0.83304
Belarus,2005,All genders,Not applicable,Percent,0.77417
Belarus,2005,Female,Not applicable,Percent,0
Belarus,2005,Male,Not applicable,Percent,1.48243
Belarus,2004,Male,Not applicable,Percent,0.16499
Belarus,2004,Female,Not applicable,Percent,1.67511
Belarus,2004,All genders,Not applicable,Percent,0.88954
Belarus,2003,All genders,Not applicable,Percent,4.05432
Belarus,2002,All genders,Not applicable,Percent,1.47664
Belarus,2002,Female,Not applicable,Percent,0.68458
Belarus,2002,Male,Not applicable,Percent,2.21174
Belarus,2001,Male,Not applicable,Percent,3.72822
Belarus,2001,Female,Not applicable,Percent,3.83791
Belarus,2001,All genders,Not applicable,Percent,3.78142
Belarus,2000,All genders,Not applicable,Percent,1.11735
Belarus,2000,Female,Not applicable,Percent,0.89533
Belarus,2000,Male,Not applicable,Percent,1.32554
Belarus,1999,Male,Not applicable,Percent,1.02963
Belarus,1999,Female,Not applicable,Percent,0.55167
Belarus,1999,All genders,Not applicable,Percent,0.79832
Belarus,1998,All genders,Not applicable,Percent,6.29222
Belarus,1998,Female,Not applicable,Percent,0.81087
Belarus,1998,Male,Not applicable,Percent,11.10132
Belarus,1997,All genders,Not applicable,Percent,1.38869
Belarus,1996,All genders,Not applicable,Percent,1.88836
Belarus,1996,Female,Not applicable,Percent,0
